distro,version,module,package,arch,build_id,source_url
centos-stream,2:18.2.7-0.el9,libceph-common.so.2,librados2,x86_64,45c9fc9d45c392ed96f6ed2283fc4af3112c988f,https://download.ceph.com/rpm-18.2.7/el9/x86_64/librados2-18.2.7-0.el9.x86_64.rpm
centos-stream,2:18.2.7-0.el9,librados.so.2,librados2,x86_64,1cc1de0162303fe049602ddeb7dff08bd5b3be95,https://download.ceph.com/rpm-18.2.7/el9/x86_64/librados2-18.2.7-0.el9.x86_64.rpm
centos-stream,2:18.2.7-0.el9,librbd.so.1,librbd1,x86_64,d811a761bad04cf251df2eb54e9f90549e8287da,https://download.ceph.com/rpm-18.2.7/el9/x86_64/librbd1-18.2.7-0.el9.x86_64.rpm
centos-stream,2:18.2.7-0.el9,ceph-osd,ceph-osd,x86_64,55d2fa99b99cb563a50089732bf2f92e681d64c1,https://download.ceph.com/rpm-18.2.7/el9/x86_64/ceph-osd-18.2.7-0.el9.x86_64.rpm
centos-stream,2:19.2.3-0.el9,libceph-common.so.2,librados2,x86_64,5f1ea54f7dd4fce58abc75258c0df12e319301b4,https://download.ceph.com/rpm-19.2.3/el9/x86_64/librados2-19.2.3-0.el9.x86_64.rpm
centos-stream,2:19.2.3-0.el9,librados.so.2,librados2,x86_64,ede96d38d9db3413a5776505852fe1ad68ef19a1,https://download.ceph.com/rpm-19.2.3/el9/x86_64/librados2-19.2.3-0.el9.x86_64.rpm
centos-stream,2:19.2.3-0.el9,librbd.so.1,librbd1,x86_64,7a16ab05e3ae5c34fa4f528cb222826708a02cc0,https://download.ceph.com/rpm-19.2.3/el9/x86_64/librbd1-19.2.3-0.el9.x86_64.rpm
centos-stream,2:19.2.3-0.el9,ceph-osd,ceph-osd,x86_64,39ec76a70203385f8c9fbf812b95f32821290c8b,https://download.ceph.com/rpm-19.2.3/el9/x86_64/ceph-osd-19.2.3-0.el9.x86_64.rpm
debian,18.2.7+ds-1,libceph-common.so.2,librados2,amd64,3d5071d7aa3ba5906909b5af9c17916d49f463d9,https://snapshot.debian.org/file/478ba8accafa4f0dad8994ba2f641705cd5fe418
debian,18.2.7+ds-1,librados.so.2,librados2,amd64,db58d5e5bd1ed353110ae4b19ba270c188a27e8b,https://snapshot.debian.org/file/478ba8accafa4f0dad8994ba2f641705cd5fe418
debian,18.2.7+ds-1,librbd.so.1,librbd1,amd64,e5806305275cda8edc4e898b9b3cf9c1170a34c0,https://snapshot.debian.org/file/8df240333bd6d0fed90d5fad7219c9218498040c
debian,18.2.7+ds-1,ceph-osd,ceph-osd,amd64,43240de334d28cf53de108f7d44110a81bd6ee79,https://snapshot.debian.org/file/1b04ec2e3024211879c83347d633ff17859d498f
ubuntu,15.2.17-0ubuntu0.20.04.6,libceph-common.so.2,librados2,amd64,2e9588e73ed6d4089f8f08ec17e20ccd478a7e6e,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668885/+files/librados2_15.2.17-0ubuntu0.20.04.6_amd64.deb
ubuntu,15.2.17-0ubuntu0.20.04.6,librados.so.2,librados2,amd64,4892287953c8a981e4000287d4f381e7ac599e4e,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668885/+files/librados2_15.2.17-0ubuntu0.20.04.6_amd64.deb
ubuntu,15.2.17-0ubuntu0.20.04.6,ceph-osd,ceph-osd,amd64,254fd8aa10290a29f04468e831951223a0a32ef1,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668885/+files/ceph-osd_15.2.17-0ubuntu0.20.04.6_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.1,libceph-common.so.2,librados2,amd64,a600f6536ef9708af4d55b9bd3a6d8f7f8893408,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.1/+build/23678202/+files/librados2_17.2.0-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.1,librados.so.2,librados2,amd64,68732f12aa9483799d7c5dfe7d905e8bff50099d,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.1/+build/23678202/+files/librados2_17.2.0-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.1,librbd.so.1,librbd1,amd64,56a0177507e26cbceb1ad3a9651acee35c19fb01,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.1/+build/23678202/+files/librbd1_17.2.0-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.2,libceph-common.so.2,librados2,amd64,f3415ab4ff8752563dc9f450183b3e284e975591,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.2/+build/24348403/+files/librados2_17.2.0-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.2,librados.so.2,librados2,amd64,5a73375a8af561cde3e9cc1654f8836329a30943,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.2/+build/24348403/+files/librados2_17.2.0-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.0-0ubuntu0.22.04.2,librbd.so.1,librbd1,amd64,b323f3ab71e82d6d32e4130345a4649f8d33a995,https://launchpad.net/ubuntu/+source/ceph/17.2.0-0ubuntu0.22.04.2/+build/24348403/+files/librbd1_17.2.0-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.1,libceph-common.so.2,librados2,amd64,2218872463fc65de6e1db349edd95b2de1cce190,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.1/+build/25656038/+files/librados2_17.2.5-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.1,librados.so.2,librados2,amd64,a32e01d04b948842425ada3adcd60dd8779cd2dd,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.1/+build/25656038/+files/librados2_17.2.5-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.1,librbd.so.1,librbd1,amd64,0b8681e7da80bc58c1dc67bd753c21e3d6ad60cb,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.1/+build/25656038/+files/librbd1_17.2.5-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.2,libceph-common.so.2,librados2,amd64,7e15d123a3a7052331a7026274fd352a46067e12,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.2/+build/25678749/+files/librados2_17.2.5-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.2,librados.so.2,librados2,amd64,ae9bbfe8e10aec3c51b671a3fee66c40f69eebbd,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.2/+build/25678749/+files/librados2_17.2.5-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.2,librbd.so.1,librbd1,amd64,7b2cd4a351fd07be6ef5066fc260492aae5d72ea,https://launchpad.net/ubuntu/+source/ceph/17.2.5-0ubuntu0.22.04.2/+build/25678749/+files/librbd1_17.2.5-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.3,libceph-common.so.2,librados2,amd64,b33db934809bfa4cb77d099a19d75d0657621133,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/25993292/+files/librados2_17.2.5-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.3,librados.so.2,librados2,amd64,643dd2929e775d93334749097932857543cfa1fc,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/25993292/+files/librados2_17.2.5-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.5-0ubuntu0.22.04.3,librbd.so.1,librbd1,amd64,5c6e6bcb3ca7c8d546148fba8f051bede34cacfd,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/25993292/+files/librbd1_17.2.5-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.1,libceph-common.so.2,librados2,amd64,f48b8b47c0ddcb39351f8de5cb660df3eadf0713,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.1/+build/26228662/+files/librados2_17.2.6-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.1,librados.so.2,librados2,amd64,c954a96ff5fe2b64e6ded8187f203c799a11768f,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.1/+build/26228662/+files/librados2_17.2.6-0ubuntu0.22.04.1_amd64.deb
