Execution timeout set to 30 seconds.
Version check passed: 17.2.9-0ubuntu0.22.04.1
     pid  client     tid  pool  pg         acting  WR     size  latency     object[ops]
   78398    5988   57325    19  51        [1,5,8]   W        0     1036     rbd_header.173f40ae225f [watch]
   78398    5988   57326    19  51        [1,5,8]   W        0      896     rbd_header.173f40ae225f [watch]
   78398    5988   57327    19  51        [1,5,8]   W        0     1070     rbd_header.173f40ae225f [watch]
   78398    5988   57328    19  51        [1,5,8]   W        0     1102     rbd_header.173f40ae225f [watch]
   78398    5988   57329    19  51        [1,5,8]   W        0     9042     rbd_header.173f40ae225f [call(rbd.set_modify_timestamp)]
   78398    5988   57332    19  51        [1,5,8]   W        0     4653     rbd_header.173f40ae225f [watch]
   78398    5988   57330    19  60        [6,0,2]   W        0    31144     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57331    19  60        [6,0,2]   W        0    35451     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57335    19  60        [6,0,2]   W        0     8462     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57336    19  60        [6,0,2]   W        0    14630     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57333    19  3e        [5,6,8]   W  1040384   545737     rbd_data.173f40ae225f.00000000000001e1 [set-alloc-hint write][3145728, 1040384]
   78398    5988   57334    19  42        [5,3,2]   W  1040384   541176     rbd_data.173f40ae225f.00000000000001e2 [set-alloc-hint write][0, 1040384]
   78398    5988   57339    19  3e        [5,6,8]   W     8192   461578     rbd_data.173f40ae225f.00000000000001e1 [write][4186112, 8192]
   78398    5988   57337    19  69        [5,8,6]   W  1044480   485632     rbd_data.173f40ae225f.00000000000001e3 [set-alloc-hint write][0, 1044480]
   78398    5988   57340    19  42        [5,3,2]   W  3153920   488048     rbd_data.173f40ae225f.00000000000001e2 [write][1040384, 3153920]
   78398    5988   57338    19  41        [7,1,2]   W   802816   514698     rbd_data.173f40ae225f.00000000000001e4 [set-alloc-hint write][0, 802816]
   78398    5988   57341    19  69        [5,8,6]   W  3149824   396258     rbd_data.173f40ae225f.00000000000001e3 [write][1044480, 3149824]
   78398    5988   57342    19  78        [8,0,3]   W    32768    80811     rbd_data.173f40ae225f.0000000000000129 [write][282624, 32768]
   78398    5988   57343    19  78        [8,0,3]   W     4096     9462     rbd_data.173f40ae225f.0000000000000129 [write][315392, 4096]
   78398    5988   57347    19  75        [8,3,0]   W     8192    14964     rbd_data.173f40ae225f.000000000000001b [write][3145728, 8192]
   78398    5988   57348    19   f        [2,0,6]   W     4096    15255     rbd_data.173f40ae225f.000000000000001c [write][61440, 4096]
   78398    5988   57345    19  60        [6,0,2]   W        0    16675     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57352    19  55        [8,1,7]   W        0    10300     rbd_data.173f40ae225f.00000000000002da [delete]
   78398    5988   57351    19   f        [2,0,6]   W     4096    23905     rbd_data.173f40ae225f.000000000000001c [write][536576, 4096]
   78398    5988   57353    19  60        [6,0,2]   W        0    17231     rbd_object_map.173f40ae225f [call(lock.assert_locked) call(rbd.object_map_update)]
   78398    5988   57344    19   1        [7,2,3]   W        0   272278     rbd_data.173f40ae225f.00000000000002d9 [truncate]
   78398    5988   57346    19   1        [7,2,3]   W  3145728   273371     rbd_data.173f40ae225f.00000000000002db [zero][0, 3145728]
   78398    5988   57354    19   1        [7,2,3]   W        0    11844     rbd_data.173f40ae225f.00000000000002db [truncate]
   78398    5988   57349    19  68        [0,4,3]   W     4096   286774     rbd_data.173f40ae225f.0000000000000020 [write][2195456, 4096]
   78398    5988   57355    19  3a        [4,5,3]   W   917504    22271     rbd_data.173f40ae225f.00000000000002dc [zero][0, 917504]
   78398    5988   57350    19  62        [5,1,4]   W     8192   295676     rbd_data.173f40ae225f.000000000000023b [write][3162112, 8192]
   78398    5988   57356    19  51        [1,5,8]   W        0     2959     rbd_header.173f40ae225f [watch]
